name,type,trust,address,phone,email,activity,revenue,executive,,
"La Boutique D Av, Pondicherry",Commercial,ARTISANA TRUST,Pondicherry,2337264,boutiquepondy@auroville.org.in,Agriculture,3822663,"""C. Bhoominathan,R. Ramalingam,Jean Francois Bertaux,""",,
La Maison,Commercial,ARTISANA TRUST,Pondicherry,,lamaison@auroville.org.in,Sutainable energy,250475,"""Balaji Sundarvinayagam,Sundar Rajamani,,""",,
Lotus Fraternity,Commercial,ARTISANA TRUST,Fraternity,,,Agriculture,7190692,"""Jean Francois Bertaux,Michiko Maedo,,""",,
Memories From The Future Of Light,Commercial,ARTISANA TRUST,Fertile Windmill,2622075,vijay@auroville.org.in,Research,3376874,"""Vittorio Gresele,,Maria Francesca Abbate,""",,
Magica,Commercial,ARTISANA TRUST,Fertile East,2622538,magica@auroville.org.in ,Healing,939557,"""Benvenuto Carrizoni,Laura Giufarelli,,""",,
Mantra,Commercial,ARTISANA TRUST,Kottakarai,622173,angad@auroville.org.in,Architecture,4038538,"""Angad Vohra,,,""",,
Marayana,Commercial,ARTISANA TRUST,Auroshilpam,622036,mara@auroville.org.in,Fashion,7546962,"""Laurent Gay,Vassily Zhovtan,,""",,
New Creation Fraternity Crafts,Commercial,ARTISANA TRUST,New Creation,2622404/2622981,nchandi@auroville.org.in,Art & craft,4977832,"""Andre Tardeil,Lourdes Joseph,P. Satyamurthy,""",,
Papyrus,Commercial,ARTISANA TRUST,Fraternity,2622129,papyrus@auroville.org.in; ,Art & craft,2188653,"""Nicolas Tran,Bruno Leduc Corbet,Selvi Tran,""",,
Pharmacy Of Health Centre,Commercial,ARTISANA TRUST,Aspiration,2622123/2622018,avhealth@auroville.org.in,Independent businesses,6261313,"""Uma Tewari Sharma,Hilde d'Hiedt,Lili Desplanque,""",,
Pottery Sipapu,Commercial,ARTISANA TRUST,Dana,2622208,sipapu@gmail.com,Fashion,7933888,"""Sundaravalli Sudharsan,Carel Thieme,,""",,
Radiance,Commercial,ARTISANA TRUST,Aurodam,2622377,radiance@auroville.org.in; ,Education,7917323,"""Guy Dinet,,,""",,
Sound Wizard,Commercial,ARTISANA TRUST,Shakti,2622659,info@soundwizard.net,Business support,1635046,"""Didier Weiss,Sylvie Cecilia Weiss,AuroKumbhaka Grenier,""",,
Sunlight Lane,Commercial,ARTISANA TRUST,,,lila@auroville.org.in,Research,5096667,"""Lila Neemberry,,,""",,
The Colours Of Nature,Commercial,ARTISANA TRUST,Kottakarai,622587,colnature@auroville.org.in,Education,2549277,"""Jesus Ciriza,,,""",,
Amano,Commercial,AUROMICS TRUST,Isaiambalam,,auromics@auroville.org.in,Art & craft,2577061,"""Andre Deplechin,O. Mariappan,,""",,
Avision,Commercial,AUROMICS TRUST,Auroshilpam,,alok@auroville.org.in,Education,4347972,"""Alok Aurovilian,Auronevi Pingal,,""",,
Aranya,Service,AUROMITRA - FRIENDS OF AV RESEARCH FOUNDATION,Hermitage,,aranya@auroville.org.in ,Education,139769,"""D. Saravanam,Paul Blanchflower,,""",,
Atmasanga Environment Alliance,Service,AUROMITRA - FRIENDS OF AV RESEARCH FOUNDATION,Celebration,0413 2623353,info@atmasanga.com,Sutainable energy,6847264,"""Udhayanan Radhakrishnan,Alfred Christian Hammer,,""",,
Botanical Services,Service,AUROMITRA - FRIENDS OF AV RESEARCH FOUNDATION,Botancial Garden,,botanical@auroville.org.in,Architecture,5962016,"""Paul Blanchflower,Walter Gastmans,K. Adhikesavan,""",,
Environmental Monitoring Service (EMS),Service,AUROMITRA - FRIENDS OF AV RESEARCH FOUNDATION,Aurobrindavan,2677096,ems@auroville.org.in,Art & craft,5150546,"""Igor Drobot,Juergen Puetz,,""",,
Palmyra,Service,AUROMITRA - FRIENDS OF AV RESEARCH FOUNDATION,Aurobrindavan,4132678145,palmyra@auroville.org.in,Architecture,6419231,"""Juergen Putz,Igor Drobot,Sabine Suchopar,""",,
Pitchandikulam Forest (CHEC),Service,AUROMITRA - FRIENDS OF AV RESEARCH FOUNDATION,Pitchandikulam,622365,joss@auroville.org.in,Food,5090324,"""Joss Brooks,Anita Truchanas,R. Kannaipan,""",,
To Be Two,Commercial,AUROMODE TRUST,Auroshilpam,,auromode@auroville.org.in,Food,2283765,"""Ganna Palashevska,Andre  Hababou,Louis Cohen,""",,
AuroRE Projects and Services,Commercial,AURORE TRUST,Auroshilpam,2622749,aurore@auroville.org.in,Independent businesses,4589299,"""Hemant Lamba,Theo Baetens,Suhasini Ayer Guigan,""",,
Aurore Systems,Service,AURORE TRUST,Auroshilpam,,aurore@auroville.org.in,Agriculture,2438433,"""Hemant Lamba,Theo Baetens,Suhasini Ayer Guigan,""",,
Aurore Mechanical Engineering,Commercial,AURORE TRUST,Aspiration,,nicoletta@auroville.org.in,Agriculture,7158663,"""Rolf Dunn Bosbach,V. Rajamani,Robert Trunz,""",,
Eutechne,Commercial,AURORE TRUST,Auroshilpam,2622109,sauro@auroville.org.in; ,Art & craft,6148806,"""Sauro Mezzetti,Carla Rosa Gileno,,""",,
Boutique,Commercial,AUROSARJAN TRUST,Pondicherry,333855,stephan@auroville.org.in,Agriculture,824237,"""Wolfgang Pfeifer,Paul Pinthon,Abha Arpi,P. Karna""",,
Eco Pro,Commercial,AUROSARJAN TRUST,Auroshilpam,,lucasdl@auroville.org.in,Business support,7554324,"""Lucas Dengel,Rishi Kapoor,,""",,
Gecko,Commercial,AUROSARJAN TRUST,Auroshilpam,622526,gecko@auroville.org.in,Sutainable energy,7270352,"""Stephan Himmer,Panneerselvam Venugopal,,""",,
Aqua Dyn,Commercial,AUROVILLE EXPORTS TRUST,Aspiration,2622201,aquadyn@auroville.org.in,Sutainable energy,7082260,"""Jean Pierre Ravaud,Maurice Monier,,""",,
Auroville Wind Systems,Commercial,AUROVILLE EXPORTS TRUST,Auroshilpam,"2623384, 2623385",aws@auroville.org.in,Sutainable energy,7951774,"""Jan Imhoff,Stephan Himmer,,""",,
Eco Femme,Commercial,AUROVILLE EXPORTS TRUST,Saracon,,kathy@auroville.org.in,Art & craft,2019080,"""Kathy Walkling,Anne Miedema,,""",,
Imagination,Commercial,AUROVILLE EXPORTS TRUST,Isaiambalam,2622621/002,imagination@auroville.org.in,Architecture,7913392,"""Carlos Lorenzen,Lachman Melvani,Harish Joshi,S. Kathiravan""",,
Kallialay Surf School,Commercial,AUROVILLE EXPORTS TRUST,Reve,9442992874,Kallialay@gmail.com,Education,5702339,"""Jean Reboul,Samai Reboul,,""",,
Sweth Kamal,Commercial,AUROVILLE EXPORTS TRUST,,,harish@auroville.org.in,Independent businesses,6836762,"""Carlos Lorenzen,Harish Joshi,Vinodhini,""",,
Toy Carpentry _Bommaiyurî,Commercial,AUROVILLE EXPORTS TRUST,Kottakarai,622608,bommaiyur@auroville.org.in,Fashion,2623232,"""Carlos Lorenzen,Siegfried Latzke,,""",,
Wellpaper,Commercial,AUROVILLE EXPORTS TRUST,Kottakarai ,2622571,wellpaper@auroville.org.in,Agriculture,2625430,"""Danny Merguei,Orly Merguei,,""",,
ACUR Management,Service,AUROVILLE SERVICE TRUST,Town Hall,2622170,dheena@auroville.org.in,Education,6905277,"""Annemarie Bakker,Giandonata Beglluomini,,""",,
Auro Orchard,Service,AUROVILLE SERVICE TRUST,Auro Orchard,622410,gerardorchard@auroville.org.in,Food,3501365,"""Gerard Cruz,Bithi Poddar,Christian Tarpin,""",,
Auroville Architectural Services,Service,AUROVILLE SERVICE TRUST,Luminosity,2622210,eugen@auroville.org.in,Food,7285699,"""Eugen Eigenmann,Mona Doctor-Pingel,,""",,
Auroville Carpentry Service,Service,AUROVILLE SERVICE TRUST,Fraternity,9159275735,ben@auroville.org.in,Sutainable energy,3408512,"""Ben Van Vliet,Volker Jork,,""",,
Auroville Forex,Service,AUROVILLE SERVICE TRUST,Town Hall,2622648,financialService@auroville.org.in,Fashion,6740083,"""Alois Otto,E. Rathinam,Divya Kapoor,""",,
Auroville International Programmes,Service,AUROVILLE SERVICE TRUST,Unity Pavilion,,abernard@auroville.org.in,Food,529106,"""Alain Bernard,Ruth Hauser,Hubertus Pater,Dominique Pages""",,
Auroville Road Service,Service,AUROVILLE SERVICE TRUST,Certitude,9443362217,alaing@auroville.org.in,Independent businesses,5991308,"""Alain Grancolas,S. Manickam,,""",,
Auroville Security Service,Service,AUROVILLE SERVICE TRUST,Town Hall,2623400,avsecurity@auroville.org.in,Entertainment,4944495,"""Samuel Charpentier,Srijita Roy,Carlos Herrera,""",,
Auroville Telephone Service,Service,AUROVILLE SERVICE TRUST,Prayogashala,"2622298,  2622364",telephoneService@auroville.org.in,Agriculture,4405306,"""Sandeep Dabrai,M. Ponnusamy,C. Gunasekaran,""",,
Auroville Visitors Center,Service,AUROVILLE SERVICE TRUST,VIC,2622792/2622248,visitorscentre@auroville.org.in,Fashion,5636704,"""Nicole Clarence Smith,Gillian Chvat,Angad Vohra,Simonette Smits""",,
Auro Nirmata,Service,AUROVILLE SERVICE TRUST,Prayatna,"2623013, 2623668",dhanapal@auroville.org.in,Research,1076565,"""L.Dhanapal,D.Vijaya,,""",,
Auroville Design Service (AV Dzines),Service,AUROVILLE SERVICE TRUST,Town Hall,944345963,gunapavi@auroville.org.in ,Fashion,5374874,"""P. Gunashekar,Luigi Zanzi,M. Tixon,""",,
Auroville Stray Relief & Animal Welfare (AV Straw),Service,AUROVILLE SERVICE TRUST,Hermitage,9443843976,ingridt@auroville.org.in,Agriculture,4173062,"""Ingrid Tscharntke,Elke van Koert,,""",,
Auroville Water Service,Service,AUROVILLE SERVICE TRUST,Residential Zone,2622333/2622690,avwaterservice@auroville.org.in,Healing,6604549,"""Toby Neuman,Luca Baldesi,,""",,
AV ArtService,Service,AUROVILLE SERVICE TRUST,Shranga,2623187,avartService@auroville.org.in,Healing,7531974,"""Lisa Neogy,Ramesh Oorothumkandy,Riccardo Carlotto,Marco Fiera""",,
Eco Service,Service,AUROVILLE SERVICE TRUST,Kottakarai,,ecoService@auroville.org.in,Business support,1767368,"""Palani Kannan,Kali Borg,,""",,
Mukti Accounting,Service,AUROVILLE SERVICE TRUST,Town Hall,9047375459,kumar11@auroville.org.in,Independent businesses,334065,"""K. Kumar,K. Sathiya,Jean Francois Bertaux,""",,
PT Purchasing Service,Commercial,AUROVILLE SERVICE TRUST,Aspiration,2622152,ptpService@auroville.org.in,Architecture,4586360,"""Denis Henley,,K.Kala,""",,
SEWA,Service,AUROVILLE SERVICE TRUST,Ilangarkal,2622709,sewa@auroville.org.in,Agriculture,6544699,"""Anne Marie Senden,R. Meenakshi,Klara Brogli,D. Saravanam""",,
Sidanta,Service,AUROVILLE SERVICE TRUST,Invocation,9943645039,sidanta@auroville.org.in,Agriculture,6801481,"""Peter Klingspies,Kevin Hauser,,""",,
Auroville Health Services,Service,AUROVILLE VILLAGE ACTION TRUST,Prayogashala,2622425,avhs@auroville.org.in ,Education,4182253,"""Mechtild Schubert,Paula Fischer,,""",,
Auroville Institute of Applied Technology,Service,AUROVILLE VILLAGE ACTION TRUST,Irumbai,2671758,office.ais@auroville.org.in,Sutainable energy,4908813,"""Lavkamad Chandra,Michael Harmjanz,Karin Latzke,Juergen Putz""",,
Auroville Village Action Group,Service,AUROVILLE VILLAGE ACTION TRUST,Irumbai,2677187,avag@auroville.org.in,Agriculture,7293705,"""Bridget Horkan,,,Abha Tewari Arpi""",,
Deepam,Service,AUROVILLE VILLAGE ACTION TRUST,Aspiration,2623254,deepam@auroville.org.in,Healing,3756237,"""Selvi Lawrence,Angelika Erhle,,""",,
Integral Rural Development Project (IRD),Service,AUROVILLE VILLAGE ACTION TRUST,Pitchandikulam,,joss@auroville.org.in,Healing,7808073,""",Joss Brooks,Alain Bernard,""",,
Mohanam-Svaram,Service,AUROVILLE VILLAGE ACTION TRUST,Sanjeevinagar,,mohanam@auroville.org.in,Business support,5035569,"""Alfred Hammer,P. Balasundaram,Elaine Catherine Phillips,B. Radjakanni""",,
Sadhana Forest,Service,AUROVILLE VILLAGE ACTION TRUST,Sadhana Forest,9442524133,aviram@auroville.org.in,Entertainment,3683717,"""Aviram Rozin,Yorit Rozin,Minhaj Ameen,""",,
Social Entrepreneurship Associates (SEA),Service,AUROVILLE VILLAGE ACTION TRUST,Saracon,9159801981,aurovillehub@gmail.com,Fashion,5320367,"""Aran Yardeni,Marc Tormo,,""",,
Thamarai Learning & Cultural Centre,Service,AUROVILLE VILLAGE ACTION TRUST,Edayanchavadi,94865-20884,thamarai@auroville.org.in,Research,3707946,"""Kathy Walkling,Bridget Horkan,,""",,
Atithi Griha,Service,BHARAT NIVAS PAVILION OF INDIA TRUST,Bharat Nivas,,ashoke@auroville.org.in,Business support,6296355,"""Ashoke Chatterjee,V. Banumathi,Kiran Singh,""",,
Swagatam Guest House,Service,BHARAT NIVAS PAVILION OF INDIA TRUST,Bharat Nivas,2622934,swagathamguesthouse@auroville.org.in,Food,1441562,"""D. Vijaya,A. Elumalai,,""",,
Auroville Intern'l Township Social Research (SRC),Service,CENTRE FOR SCIENTIFIC RESEARCH,,2622418,src@auroville.org.in,Art & craft,6544706,"""Stuart Leard,Harini Sampathkumar,,""",,
Auroville Building Centre Research & Training,Unlisted,CENTRE FOR SCIENTIFIC RESEARCH,Auroshilpam,2622168 & 2622277,csr@auroville.org.in,Food,3203306,"""Theo Baetens,Gilles Guigan,Suhasini Ayer Guigan,Serge Mani""",,
Auroville Design Consultants,Service,CENTRE FOR SCIENTIFIC RESEARCH,Auroshilpam,2622784,suhasini@auroville.org.in,Food,6828343,"""Suhasini Ayer Guigan,Gilles Guigan,,""",,
Auroville Renewable Energy,Unlisted,CENTRE FOR SCIENTIFIC RESEARCH,,,,Architecture,4274027,"""Theo Baetens,,,""",,
AVBC Ferrocement Technology,Unlisted,CENTRE FOR SCIENTIFIC RESEARCH,Auroshilpam,2622168 & 2622277,csr@auroville.org.in,Agriculture,2664082,"""Theo Baetens,,,""",,
AVBC Architecture Department,Unlisted,CENTRE FOR SCIENTIFIC RESEARCH,Auroshilpam,2622168 & 2622277,csr@auroville.org.in,Agriculture,4907724,"""Suhasini Ayer Guigan,,,""",,
CSR,Unlisted,CENTRE FOR SCIENTIFIC RESEARCH,Auroshilpam,,csr@auroville.org.in,Sutainable energy,56383,"""Theo Baetens,Guido Ryckaert,William Sullivan,""",,
CSR Water & Sanitation Unit,Unlisted,CENTRE FOR SCIENTIFIC RESEARCH,Auroshilpam,2622168 & 2622277,csr@auroville.org.in,Sutainable energy,1795442,"""Theo Baetens,,,""",,
Deepam Candles,Commercial,DISCOVERY TRUST,Bharati Nagar,2623 837,deepamcandles@gmail.com,Sutainable energy,3268801,"""P. Murugan,Tlaloc Tokuda,,""",,
Discovery,Commercial,DISCOVERY TRUST,Fraternity,622085,karna@auroville.org.in,Entertainment,4505139,"""P. Karna,K. Uma,,""",,
EV Future,Commercial,FILAURE TRUST,Reve,2622380,sukrit@auroville.org.in,Business support,3210322,"""Akash Heimlich,Sukrit Auro,,""",,
Santosham,Commercial,FILAURE TRUST,Auroshilpam,2622127,michealt@auroville.org.in,Sutainable energy,2019460,"""Valerie Tait,Michael Tait,,""",,
Mitra Auroville,Commercial,FOR ALL POUR TOUS TRUST,Aurelec,,Ublass@auroville.org.in,Research,7745768,"""Arjun Puri,Michael Bonke,Ulrich Blass,Viacheslav Astafyev""",,
Varuna Auroville,Commercial,FOR ALL POUR TOUS TRUST,Aurelec,,Ublass@auroville.org.in,Research,4990912,"""Arjun Puri,Carel Thieme,Ulrich Blass,Toby Neuman, Michael Bonke""",,
AuroAnnam,Commercial,FREE FLOW TRUST,AuroAnnam,262 3391/290 6482,auroannam@auroville.org.in,Healing,801148,"""Lucas Dengel,Mawite Tonsing Ngaizamawl,,""",,
Aurosoya,Commercial,FREE FLOW TRUST,Udyogam,2623809,fredcatia@auroville.org.in,Independent businesses,4966581,"""Frederic Cordonnier,Catia Cordonnier,,""",,
Aurospirul,Commercial,FREE FLOW TRUST,Simplicity,2655718,spirulina@auroville.org.in; ,Sutainable energy,3515884,"""Hendrik Van Poederooije,Lucas Dengel,,""",,
Cafe Le Morgan,Commercial,FREE FLOW TRUST,Town Hall,2622832,cafelemorgan@auroville.org.in,Sutainable energy,1975589,"""Jean Marc Dupont,E. Ganesh,,""",,
